,question,Summary,answer
10,Difference between @staticmethod and @classmethod,What is the difference between a function decorated with @staticmethod and one decorated with @classmethod?,"static methods are sometimes better off as module level functions in python for the sake of cleanliness. With a module function it is easier to import just the function you need and prevent unnecessary ""."" syntax (I'm looking at you Objective-C). class methods have more use since they can be used in combination with polymorphism to create ""factory pattern"" functions. this is because class methods receive the class as an implicit parameter."
11,Understanding slicing,I need a good explanation (references are a plus) on Python slicing.,"Slicing builtin types returns a copy but that's not universal. Notably, slicing NumPy arrays returns a view that shares memory with the original."
12,Finding the index of an item in a list,"Given a list [""foo"", ""bar"", ""baz""] and an item in the list ""bar"", how do I get its index 1?","Are you returning: [1] The lowest index in case there are multiple instances of ""bar"", [2] All the indices of ""bar""?"
13,Iterating over dictionaries using 'for' loops,"d = {'x': 1, 'y': 2, 'z': 3} for key in d: print(key, 'corresponds to', d[key]) How does Python recognize that it needs only to read the key from the dictionary? Is key a special keyword, or is ...","As we know that in Python Dictionary as a set of key: value pairs, with the requirement that the keys are unique (within one dictionary). A pair of braces creates an empty dictionary: {}. Placing a comma-separated list of key:value pairs within the braces adds initial key:value pairs to the dictionary. No, key is not a special word in Python. Here key is Just a variable name."
14,Using global variables in a function,"How can I create or use a global variable in a function? If I create a global variable in one function, how can I use that global variable in another function? Do I need to store the global variable ...","It's extreme exaggeration to refer to globals as ""so dangerous."" Globals are perfectly fine in every language that has ever existed and ever will exist. They have their place. What you should have said is they can cause issues if you have no clue how to program."
15,Does Python have a string 'contains' substring method?,"I'm looking for a string.contains or string.indexof method in Python. I want to do: if not somestring.contains(""blah""): continue","Under the hood, Python will use __contains__(self, item), __iter__(self), and __getitem__(self, key) in that order to determine whether an item lies in a given contains. Implement at least one of those methods to make in available to your custom type."
16,How do I get the current time?,How do I get the current time?,"please note, the most voted answers are for timezonoe-naive datetime, while we see that in production environment more and more services across the world are connected together and timezone-aware datetime become the required standard"
17,Catch multiple exceptions in one line (except block),I know that I can do: try: # do something that may fail except: # do this if ANYTHING goes wrong I can also do this: try: # do something that may fail except IDontLikeYouException: #...,"Note that in Python 3, the latter is no longer valid syntax."
18,How do I list all files of a directory?,How can I list all files of a directory in Python and add them to a list?,Related to How to get a list of subdirectories
19,How do I sort a dictionary by value?,"I have a dictionary of values read from two fields in a database: a string field and a numeric field. The string field is unique, so that is the key of the dictionary. I can sort on the keys, but how ...","The dictionary data structure does not have inherent order. You can iterate through it but there's nothing to guarantee that the iteration will follow any particular order. This is by design, so your best bet is probaly using anohter data structure for representation."
20,How to iterate over rows in a DataFrame in Pandas,"I have a DataFrame from Pandas: import pandas as pd inp = [{'c1':10, 'c2':100}, {'c1':11,'c2':110}, {'c1':12,'c2':120}] df = pd.DataFrame(inp) print df Output: c1 c2 0 10 100 1 11 110 2 ...","The df.iteritems() iterates over columns and not rows. Thus, to make it iterate over rows, you have to transpose (the ""T""), which means you change rows and columns into each other (reflect over diagonal). As a result, you effectively iterate the original dataframe over its rows when you use df.T.iteritems()"
21,What is the difference between __str__ and __repr__?,What is the difference between __str__ and __repr__ in Python?,"Definitely disagree with your opinion that debugging isn't the way to go. For development use a debugger (and/or logging), for production use logging. With a debugger you have a view of everything that went wrong when the problem occurred. You can see the full picture. Unless you are logging EVERYTHING you can't get that. Plus if you are logging everything you're going have to wade through tons of data to get at what you want."
22,How can I add new keys to a dictionary?,How do I add a key to an existing dictionary? It doesn't have an .add() method.,"Either use the accepted answer: d['mynewkey'] = 'mynewvalue' or you could use val = d.setdefault('mynewkey', 'mynewvalue')"
23,Convert bytes to a string,"I'm using this code to get standard output from an external program: >>> from subprocess import * >>> command_stdout = Popen(['ls', '-l'], stdout=PIPE).communicate()[0] The ...",why doesn't str(text_bytes) work? This seems bizarre to me.
24,How to copy files?,How do I copy a file in Python?,"Note that not all metadata will be copied, depending on your platform."
25,How do I concatenate two lists in Python?,"How do I concatenate two lists in Python? Example: listone = [1, 2, 3] listtwo = [4, 5, 6] Expected outcome: >>> joinedlist [1, 2, 3, 4, 5, 6]","Do you want to simply append, or do you want to merge the two lists in sorted order? What output do you expect for [1,3,6] and [2,4,5]? Can we assume both sublists are already sorted (as in your example)?"
26,How do I check if a list is empty?,"For example, if passed the following: a = [] How do I check to see if a is empty?","Playing devil's advocate. I don't understand why this idiom is considered pythonic. 'Explicit is better then implicit', correct? This check doesn't seem very explicit about what is is checking."
27,What is __init__.py for?,What is __init__.py for in a Python source directory?,"According to comment below by @Rob_before_edits and this stackoverflow thread 37139786, it seems that init.py is no longer needed for Python 3.3+."
28,What is the difference between Python's list methods append and extend?,What's the difference between the list methods append() and extend()?,"What is the difference between extend and simply using the addition operator - in the above example, x = x + [4, 5]?"
29,"""Least Astonishment"" and the Mutable Default Argument",Anyone tinkering with Python long enough has been bitten (or torn to pieces) by the following issue: def foo(a=[]): a.append(5) return a Python novices would expect this function to always ...,Complementary question - Good uses for mutable default arguments
30,How do I pass a variable by reference?,Are parameters are passed by reference or value? How do I pass by reference so that the code below outputs 'Changed' instead of 'Original'? class PassByReference: def __init__(self): self....,"For a short explanation/clarification see the first answer to this stackoverflow question. As strings are immutable, they won't be changed and a new variable will be created, thus the ""outer"" variable still has the same value."
31,How can I make a time delay in Python? [duplicate],I would like to know how to put a time delay in a Python script.,Possible duplicate of How do I get my Python program to sleep for 50 milliseconds?
32,How do I clone a list so that it doesn't change unexpectedly after assignment?,"While using new_list = my_list, any modifications to new_list changes my_list every time. Why is this, and how can I clone or copy the list to prevent it?",new_list = my_list just assigns the name new_list to the object my_list refers to.
33,How to make function decorators and chain them together?,"How can I make two decorators in Python that would do the following? @makebold @makeitalic def say(): return ""Hello"" ...which should return: ""<b><i>Hello</i></b&...","""You cannot un-decorate a function."" - While normally true, it is possible to reach inside the closure in the function return by a decorator (i.e. via its __closure__ attribute) to pull out the original undecorated function. One example usage is documented in this answer which covers how it is possible to inject a decorator function in a lower level in limited circumstances."
34,Understanding Python super() with __init__() methods [duplicate],"Why is super() used? Is there a difference between using Base.__init__ and super().__init__? class Base(object): def __init__(self): print ""Base created"" class ChildA(...",this is a very simple intro to classes worth going through: realpython.com/python-super/…. It's easier to digest than the answers given that are for most of us I assume too detailed in the implementation of python. It also has examples to make it concrete.
35,How do I select rows from a DataFrame based on column values?,"How can I select rows from a DataFrame based on values in some column in Pandas? In SQL, I would use: SELECT * FROM table WHERE column_name = some_value",Check here: github.com/debaonline4u/Python_Programming/tree/master/…
36,What does ** (double star/asterisk) and * (star/asterisk) do for parameters?,"What do *args and **kwargs mean? def foo(x, y, *args): def bar(x, y, **kwargs):",see also stackoverflow.com/questions/6967632/…
37,How do I delete a file or folder in Python?,How do I delete a file or folder?,os.rmdir() on Windows also removes directory symbolic link even if the target dir isn't empty
38,How do you change the size of figures drawn with Matplotlib?,How do you change the size of figure drawn with Matplotlib?,"If you've already got the figure created, say it's 'figure 1' (that's the default one when you're using pyplot), you can use figure(num=1, figsize=(8, 6), ...) to change it's size etc. If you're using pyplot/pylab and show() to create a popup window, you need to call figure(num=1,...) before you plot anything - pyplot/pylab creates a figure as soon as you draw something, and the size of the popup appears to be fixed at this point."
39,Manually raising (throwing) an exception in Python,How can I raise an exception in Python so that it can later be caught via an except block?,"try: raise ValueError('error') except ValueError as e: print('we will catch exception: Exception',str(e)) #is the best solution"
40,How do you split a list into evenly sized chunks?,How do I split a list of arbitrary length into equal sized chunks? Related question: What is the most “pythonic” way to iterate over a list in chunks?,"Before you post a new answer, consider there are already 60+ answers for this question. Please, make sure that your answer contributes information that is not among existing answers."
41,How do I print colored text to the terminal in Python?,How can I output colored text to the terminal in Python?,"This symbol would make a great colored block: █ Only problem is that it is extended ASCII, maybe you could get it to work using http://stackoverflow.com/questions/8465226/using-extended-ascii-codes-with-python"
42,Converting string into datetime,"How do I convert the following string to a datetime object? ""Jun 1 2005 1:33PM""","Unless you're sure one format handles every single date-time (no '', no NaNs, no incompletes, no format mismatches, no trailing characters, timezones, microsecond timestamps, or other text...), the exception-happiness of strptime() will drive you nuts, unless you wrap it. See my answer, based on Or Weis answer to this"
43,How do I access environment variables in Python?,How do I get the value of an environment variable in Python?,"hello rod, thanks for your effective reply concerning 'default-installation'; effective in point of view to understand it quickly rather than go through the links. That’s really I appreciated :) but about my (1) question please look at the command and outputs snippet below: >>> import os >>> print os.environ['PYTHONPATH'] Traceback (most recent call last): File ""<console>"", line 1, in <module> File ""C:\Python25\lib\os.py"", line 435, in getitem return self.data[key.upper()] KeyError: 'PYTHONPATH' >>> print os.environ.get('PYTHONPATH') None >>> // PLZ to be continue...//"
44,Find the current directory and file's directory [duplicate],"In Python, what commands can I use to find: the current directory (where I was in the terminal when I ran the Python script), and where the file I am executing is?",I hate it when I use this to append to sys.path. I feel so dirty right now.
45,Check if a given key already exists in a dictionary,"I wanted to test if a key exists in a dictionary before updating the value for the key. I wrote the following code: if 'key1' in dict.keys(): print ""blah"" else: print ""boo"" I think this is not ...","Calling dict.keys() creates a list of keys, according to the documentation docs.python.org/2/library/stdtypes.html#dict.keys but I'd be surprised if this pattern wasn't optimised for, in a serious implementation, to translate to if 'key1' in dict:."
46,How can I install pip on Windows?,pip is a replacement for easy_install. But should I install pip using easy_install on Windows? Is there a better way?,From PyCon 2011: blip.tv/pycon-us-videos-2009-2010-2011/… The dirty secret is that pip is a wrapper for easy_install :)
47,"Why is ""1000000000000000 in range(1000000000000001)"" so fast in Python 3?","It is my understanding that the range() function, which is actually an object type in Python 3, generates its contents on the fly, similar to a generator. This being the case, I would have expected ...","Note that this is the case only if the item we are checking is a bool or long type, with other object types it will go crazy. Try with: 100000000000000.0 in range(1000000000000001)"
48,How do I parse a string to a float or int?,"How can I convert a str to float? ""545.2222"" → 545.2222 How can I convert a str to int? ""31"" → 31","As a general rule, if you have an object in Python, and want to convert to that type of object, call type(my_object) on it. The result can usually be called as a function to do the conversion. For instance type(100) results in int, so you can call int(my_object) to try convert my_object to an integer. This doesn't always work, but is a good ""first guess"" when coding."
49,How do I get the last element of a list?,How do I get the last element of a list?,"Downvoted because I feel the core of this answer is incorrect. Getting a list when you want an element only postpones the inevitable ""list index out of range"" - and that's what should happen when attempting to get an element from an empty list. For Strings astr[-1:] could be a valid approach since it returns the same type as astr[-1], but I don't think the ':' helps to deal with empty lists (and the question is about lists). If the idea is to use ""alist[-1:]"" as a conditional instead of ""len(alist) > 0"", I think it's much more readable to use the later. (happy to upvote if I missed something)"
50,Renaming column names in Pandas,"How do I change the column labels of a pandas DataFrame from: ['$a', '$b', '$c', '$d', '$e'] to ['a', 'b', 'c', 'd', 'e'].",You might want to go check out the official docs which cover renaming column labels: pandas.pydata.org/pandas-docs/stable/user_guide/text.html
51,How can I remove a key from a Python dictionary?,Is there a one-line way of deleting a key from a dictionary without raising a KeyError? if 'key' in my_dict: del my_dict['key'],Benchmark script for the various methods proposed in the answers to this question: gist.github.com/zigg/6280653
52,How do I get a substring of a string in Python?,"I want to get a new string from the third character to the end of the string, e.g. myString[2:end]. If omitting the second part means 'till the end', and if you omit the first part, does it start from ...",This one contains a clear explanation pythoncentral.io/cutting-and-slicing-strings-in-python
53,How to upgrade all Python packages with pip,Is it possible to upgrade all Python packages at one time with pip? Note: that there is a feature request for this on the official issue tracker.,Beware software rot—upgrading dependencies might break your app. You can list the exact version of all installed packages with pip freeze (like bundle install or npm shrinkwrap). Best to save a copy of that before tinkering.
54,How do I sort a list of dictionaries by a value of the dictionary?,"How do I sort a list of dictionaries by a specific key's value? Given: [{'name':'Homer', 'age':39}, {'name':'Bart', 'age':10}] When sorted by name, it should become: [{'name':'Bart', 'age':10}, {'...","Reading the answer and looking on operator.itemgetter. Can I sort on multiple value in the same process (for example we have [{'name':'Bart', 'age':10, 'note':3},{'name':'Homer','age':10,'note':2},{'name':'Vasile','age':20,'note':3}] And to use: from operator import itemgetter newlist = sorted(old_list, key=itemgetter(-'note','name') EDIT: Tested, and it is working but I don't know how to make note DESC and name ASC."
55,How do I lowercase a string in Python?,"Is there a way to convert a string to lowercase? ""Kilometers"" → ""kilometers""","This only works well with ASCII characters, you may want to use str.maketrans and str.translate if you are not getting the expected string."
56,Static class variables and methods in Python,How do I create static class variables or methods in Python?,"Yes. The absence of the keyword ""static"" might be misleading, but any object initialised inside the class (just one indent inside the class, and not in the constructor) is static. It is not dependent on instantiation (because it is not part of the constructor). As for methods, you can do that with an @staticmethod decorator."
57,How to print without a newline or space,"Example in C: for (int i = 0; i < 4; i++) printf("".""); Output: .... In Python: >>> for i in range(4): print('.') . . . . >>> print('.', '.', '.', '.') . . . . In ...",For those who search the string formating documentation of python: docs.python.org/library/stdtypes.html#string-formatting
58,Calling a function of a module by using its name (a string),"What is the best way to go call a function, given a string with the function's name in a Python program. For example, let's say that I have a module foo, and I have a string whose content is ""bar&...",Using eval would probably bring up some security concerns!
59,How do I get the number of elements in a list in Python?,"How do I get the number of elements in the list items? items = [""apple"", ""orange"", ""banana""] # There are 3 items.","You are obviously asking for the number of elements in the list. If a searcher comes here looking for the size of the object in memory, this is the actual question & answers they are looking for: How do I determine the size of an object in Python?"
60,How can I randomly select an item from a list?,"Assume I have the following list: foo = ['a', 'b', 'c', 'd', 'e'] What is the simplest way to retrieve an item at random from this list?",A duplicate answer is here - stackoverflow.com/questions/9690009/…
61,How to know if an object has an attribute in Python,Is there a way in Python to determine if an object has some attribute? For example: >>> a = SomeClass() >>> a.someProperty = value >>> a.property Traceback (most recent ...,"When you say ""tell if a has the attribute property before using it?"" do you want a function returning a boolean (like hasattr() returns) or is it ok to throw an AttributeError exception?"
62,How to leave/exit/deactivate a Python virtualenv,I'm using virtualenv and the virtualenvwrapper. I can switch between virtualenv's just fine using the workon command. me@mymachine:~$ workon env1 (env1)me@mymachine:~$ workon env2 (env2)me@mymachine:~$...,"There is a command to workon ""nothing"" - it displays all your available virtual environments, which is pretty nifty. Just type ""workon"" with no arguments and hit enter. The command to leave is ""deactivate"", as answered below."
63,Limiting floats to two decimal points,"I want a to be rounded to 13.95. I tried using round: >>> a 13.949999999999999 >>> round(a, 2) 13.949999999999999","Hmm... Are you trying to represent currency? If so, you should not be using floats for dollars. You could probably use floats for pennies, or whatever the smallest common unit of currency you're trying to model happens to be, but the best practice is to use a decimal representation, as HUAGHAGUAH suggested in his answer."
64,Is there a way to run Python on Android?,"We are working on an S60 version and this platform has a nice Python API.. However, there is nothing official about Python on Android, but since Jython exists, is there a way to let the snake and the ...","If you use Kivy, here is a tool to help package your project into an APK: github.com/kivy/python-for-android"
65,Importing files from different folder,I have the following folder structure. application ├── app │   └── folder │   └── file.py └── app2 └── some_folder └── some_file.py I want to import some functions from file.py in ...,Related: stackoverflow.com/q/43476403/674039
66,Why is reading lines from stdin much slower in C++ than Python?,I wanted to compare reading lines of string input from stdin using Python and C++ and was shocked to see my C++ code run an order of magnitude slower than the equivalent Python code. Since my C++ is ...,Did you run your tests multiple times? Perhaps there is a disk cache issue.
67,How do I print curly-brace characters in a string while using .format?,"Non-working example: print("" \{ Hello \} {0} "".format(42)) Desired output: {Hello} 42",See also: stackoverflow.com/questions/35574349
68,How to read a file line-by-line into a list?,How do I read every line of a file in Python and store each line as an element in a list? I want to read the file line by line and append each line to the end of the list.,"I checked the memory profile of different ways given in the answers using the procedure mentioned here. The memory usage is far better when each line is read from the file and processed, as suggested by @DevShark here. Holding all lines in a collection object is not a good idea if memory is a constraint or the file is large. The execution time is similar in both the approaches."
69,Determine the type of an object?,"Is there a simple way to determine if a variable is a list, dictionary, or something else? I am getting an object back that may be either type and I need to be able to tell the difference.","While in general I agree with you, there are situations where it is helpful to know. In this particular case I was doing some quick hacking that I eventually rolled back, so you are correct this time. But in some cases - when using reflection, for example - it is important to know what type of object you are dealing with."
70,How to remove an element from a list by index,"How do I remove an element from a list by index? I found list.remove(), but this slowly scans the list for an item by value.","@smci: Python list is array-based: to delete an item in the middle, you have to move all items on the right to remove the gap that is why it is O(n) in time operation. deque() provides efficient operations on both ends but it does not provide O(1) insertions/lookups/deletions in the middle."
71,How to determine a Python variable's type?,How do I see the type of a variable? (e.g. unsigned 32 bit),Possible duplicate of What's the canonical way to check for type in Python?
72,Why is it string.join(list) instead of list.join(string)?,"This has always confused me. It seems like this would be nicer: [""Hello"", ""world""].join(""-"") Than this: ""-"".join([""Hello"", ""world""]) Is ...","For easy memory and understanding, - declares that you are joining a list and converting to a string.It's result oriented."
73,How do I count the occurrences of a list item?,"Given an item, how do I count its occurrences in a list in Python?","mylist = [1,7,7,7,3,9,9,9,7,9,10,0] print sorted(set([i for i in mylist if mylist.count(i)>2]))"
74,How do I remove a trailing newline?,"How do I remove the last character of a string if it is a newline? ""abc\n"" --> ""abc""",Superset: any string instead of just newline: stackoverflow.com/questions/1038824/…
75,Delete an element from a dictionary,"Is there a way to delete an item from a dictionary in Python? Additionally, how can I delete an item from a dictionary to return a copy (i.e., not modifying the original)?","Why do you need a function that returns a dictionary, when you can just modify the dictionary directly?"
76,Static methods in Python?,"Is it possible to have static methods in Python which I could call without initializing a class, like: ClassName.static_method()","Why adding @staticmethod decoration or using a function pointer, when you can simply avoid the first self parameter? Well, for an object a, you won't be able to call a.your_static_method(), which is allowed in other languages, but it is anyway considered a bad practice and the compiler always warns about it"
77,Delete a column from a Pandas DataFrame,When deleting a column in a DataFrame I use: del df['column_name'] And this works great. Why can't I use the following? del df.column_name Since it is possible to access the column/Series as df....,Note this question is being discussed on Meta.
78,How do you append to a file?,How do you append to the file instead of overwriting it? Is there a special function that appends to the file?,This from the tutorial may be useful as well.
79,How to check if the string is empty?,"Does Python have something like an empty string variable where you can do: if myString == string.empty: Regardless, what's the most elegant way to check for empty string values? I find hard coding """"...","How is """" not as good?"
80,How to pad zeroes to a string?,"What is a Pythonic way to pad a numeric string with zeroes to the left, i.e. so the numeric string has a specific length?","Comments python >= 2.6 are incorrect. That syntax doesn't work on python >= 3. You could change it to python < 3, but may I suggest instead always using parenthesis and omitting the comments altogether (encouraging recommended usage)?"
81,How do I check if a string is a number (float)?,What is the best possible way to check if a string can be represented as a number in Python? The function I currently have right now is: def is_number(s): try: float(s) return True ...,"What's wrong with what your current solution? It's short, fast and readable."
82,Meaning of @classmethod and @staticmethod for beginner? [duplicate],"Could someone explain to me the meaning of @classmethod and @staticmethod in python? I need to know the difference and the meaning. As far as I understand, @classmethod tells a class that it's a ...","The ""from_string"" method takes ""Date"" class (not Date object) as the first parameter ""cls"" and returns the constructor by calling cls(day, month, year), which is equivalent to Date(day, month, year) and returns a Date object."
83,Getting the class name of an instance?,How do I find out a name of class that created an instance of an object in Python if the function I am doing this from is the base class of which the class of the instance has been derived? Was ...,What exactly are you 'parsing' from the class variable?
84,How to measure elapsed time in Python?,"What I want is to start counting time somewhere in my code and then get the passed time, to measure the time it took to execute few function. I think I'm using the timeit module wrong, but the docs ...","timeit.timeit() prints the time that it takes to execute its argument, which is ""pass"" by default. you have to instead use start= time.time() end = time.time()"
85,Pythonic way to create a long multi-line string,"I have a very long query. I would like to split it in several lines in Python. A way to do it in JavaScript would be using several sentences and joining them with a + operator (I know, maybe it's not ...","Since your example looks like a SQL block just waiting for an injection attack, another suggestion is to look into a higher level SQL library like SQLAlchemy or something to steer clear of hacking together raw SQL like this. (Perhaps off-topic, but you did ask for ""Any suggestions"". ;)"
86,Replacements for switch statement in Python?,"I want to write a function in Python that returns different fixed values based on the value of an input index. In other languages I would use a switch or case statement, but Python does not appear ...","Related PEP, authored by Guido himself: PEP 3103"
87,Generate random integers between 0 and 9,"How can I generate random integers between 0 and 9 (inclusive) in Python? For example, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9","Just a note, these are pseudorandom numbers and they are not cryptographically secure. Do not use this in any case where you don't want an attacker to guess your numbers. Use the secrets module for better random numbers. Reference: docs.python.org/3/library/random.html"
88,Installing specific package version with pip,"I am trying to install version 1.2.2 of MySQL_python, using a fresh virtualenv created with the --no-site-packages option. The current version shown in PyPi is 1.2.3. Is there a way to install the ...","Thanks for the hint, this worked for me to install an older version of openpyxl via pip install MySQL_python==1.8.9"
89,"What is the difference between venv, pyvenv, pyenv, virtualenv, virtualenvwrapper, pipenv, etc?","Python 3.3 includes in its standard library the new package venv. What does it do, and how does it differ from all the other packages that seem to match the regex (py)?(v|virtual|pip)?env?","And to preempt the close votes, I felt this was a more general question than stackoverflow.com/questions/29950300/… , and so I didn't feel comfortable editing that question or posting an overly general answer on that post."
90,How do I install pip on macOS or OS X?,I spent most of the day yesterday searching for a clear answer for installing pip (package manager for Python). I can't find a good solution. How do I install it?,ERROR: Could not install packages due to an EnvironmentError: [Errno 13] Permission denied: '/Library/Python/2.7/site-packages/pip' Consider using the --user option or check the permissions.
91,How do you read from stdin?,"I'm trying to do some of the code golf challenges, but they all require the input to be taken from stdin. How do I get that in Python?",what's difference between input() and fileinput.input()?
92,Extracting extension from filename in Python,Is there a function to extract the extension from a filename?,"the use of basename is a little confusing here since os.path.basename(""/path/to/somefile.ext"") would return ""somefile.ext"""
93,How to print to stderr in Python?,"There are several ways to write to stderr: # Note: this first one does not work in Python 3 print >> sys.stderr, ""spam"" sys.stderr.write(""spam\n"") os.write(2, b""spam\n"") from __future__ ...","The first way listed is one of the many things removed in Python 3. The consensus seems to be that the >> syntax was ugly anyway, and since print is now a function, the syntax would never work."
94,Random string generation with upper case letters and digits,I want to generate a string of size N. It should be made up of numbers and uppercase English letters such as: 6U1S75 4Z4UKK U911K4 How can I achieve this in a pythonic way?,"This is a very popular question. I wish an expert would add his take on the uniqueness of these random numbers for the top 3 answers i.e. the collision probability for range of string size, say from 6 to 16."
95,What is the meaning of single and double underscore before an object name?,"Can someone please explain the exact meaning of having single and double leading underscores before an object's name in Python, and the difference between both? Also, does that meaning stay the same ...",A great short answer from another thread: stackoverflow.com/a/8689983/911945
96,Proper way to declare custom exceptions in modern Python?,"What's the proper way to declare custom exception classes in modern Python? My primary goal is to follow whatever standard other exception classes have, so that (for instance) any extra string I ...",I believe this is one of those cases where Python doesn't follow one of its own aphorisms: There should be one-- and preferably only one --obvious way to do it.
97,What's the canonical way to check for type in Python?,"How do I check if an object is of a given type, or if it inherits from a given type? How do I check if the object o is of type str?","I think Mr. Coombs is overlooking examples like non-JSON serializable classes. If putting a big chunk of data through a function (whose code one can't influence) one might want to convert certain pieces of that data to, for instance, a <str> before passing it. At least that's how I ended up on this page..."
98,How to prettyprint a JSON file?,How do I pretty-print a JSON file in Python?,Try to parse the JSON using json.loads() and pretty print that resulting dictionary. Or just skip to the Pretty printing section of the Python documentation for json.
99,fatal error: Python.h: No such file or directory,"I am trying to build a shared library using a C extension file but first I have to generate the output file using the command below: gcc -Wall utilsmodule.c -o Utilc After executing the command, I ...",What about Arch Linux?
100,How to iterate over rows in a DataFrame in Pandas,"I have a DataFrame from Pandas: import pandas as pd inp = [{'c1':10, 'c2':100}, {'c1':11,'c2':110}, {'c1':12,'c2':120}] df = pd.DataFrame(inp) print df Output: c1 c2 0 10 100 1 11 110 2 ...","The df.iteritems() iterates over columns and not rows. Thus, to make it iterate over rows, you have to transpose (the ""T""), which means you change rows and columns into each other (reflect over diagonal). As a result, you effectively iterate the original dataframe over its rows when you use df.T.iteritems()"
101,How do I select rows from a DataFrame based on column values?,"How can I select rows from a DataFrame based on values in some column in Pandas? In SQL, I would use: SELECT * FROM table WHERE column_name = some_value",Check here: github.com/debaonline4u/Python_Programming/tree/master/…
102,Renaming column names in Pandas,"How do I change the column labels of a pandas DataFrame from: ['$a', '$b', '$c', '$d', '$e'] to ['a', 'b', 'c', 'd', 'e'].",You might want to go check out the official docs which cover renaming column labels: pandas.pydata.org/pandas-docs/stable/user_guide/text.html
103,Delete a column from a Pandas DataFrame,When deleting a column in a DataFrame I use: del df['column_name'] And this works great. Why can't I use the following? del df.column_name Since it is possible to access the column/Series as df....,Note this question is being discussed on Meta.
104,Selecting multiple columns in a Pandas dataframe,"I have data in different columns, but I don't know how to extract it to save it in another variable. index a b c 1 2 3 4 2 3 4 5 How do I select 'a', 'b' and save it in to df1? ...",You never want to use .ix as it's ambiguous. Use .iloc or .loc if you must.
105,How do I get the row count of a Pandas DataFrame?,How do I get the number of rows of a pandas dataframe df?,"ok I found out, i should have called method not check property, so it should be df.count() no df.count"
106,How to change the order of DataFrame columns?,"I have the following DataFrame (df): import numpy as np import pandas as pd df = pd.DataFrame(np.random.rand(10, 5)) I add more column(s) by assignment: df['mean'] = df.mean(1) How can I move the ...",possible duplicate of Python Pandas - Re-ordering columns in a dataframe based on column name
107,Get a list from Pandas DataFrame column headers,"I want to get a list of the column headers from a Pandas DataFrame. The DataFrame will come from user input, so I won't know how many columns there will be or what they will be called. For example, ...","From python3.5+ you can use [*df] over list(df) or df.columns.tolist(), this is thanks to Unpacking generalizations (PEP 448)."
